"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL416230";"DECOQUINATE";"0";"417.55";"1";"6.04";"decoquinate";"CCCCCCCCCCOc1cc2c(O)c(C(=O)OCC)cnc2cc1OCC";"Hit score";"'='";"0.0589";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL556";"DEFEROXAMINE";"4";"560.69";"2";"0.92";"Deferoxamine";"CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN";"Hit score";"'='";"-0.0000619";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL1200980";"ESTROPIPATE";"4";"436.57";"0";"3.29";"estropipate";"C1CNCCN1.C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O";"Hit score";"'='";"0.1464";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL173562";"";"0";"182.17";"0";"0.54";"2-hydroxyethyl-salicylate";"O=C(OCCO)c1ccccc1O";"Hit score";"'='";"0.157";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL4303162";"";"0";"None";"None";"None";"7de5b5c6-cb03-4f69-b32d-738c306fa726";"";"Hit score";"'='";"0.01994";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL185";"FLUOROURACIL";"4";"130.08";"0";"-0.80";"5-FU";"O=c1[nH]cc(F)c(=O)[nH]1";"Hit score";"'='";"0.2369";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL593429";"ALLANTOIN";"0";"158.12";"0";"-2.18";"allantoin";"NC(=O)NC1NC(=O)NC1=O";"Hit score";"'='";"0.1646";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL253371";"ALVERINE";"4";"281.44";"0";"4.57";"Alverine";"CCN(CCCc1ccccc1)CCCc1ccccc1";"Hit score";"'='";"0.3515";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL354077";"AMIFAMPRIDINE";"4";"109.13";"0";"0.25";"Amifampridine";"Nc1ccncc1N";"Hit score";"'='";"0.1603";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
"CHEMBL1077";"BROMFENAC";"4";"334.17";"0";"2.89";"Bromfenac";"Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1";"Hit score";"'='";"0.2148";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4303810";"Antiviral activity against SARS-CoV-2 (USA-WA1/2020 strain) measured by imaging in HRCE cells at MOI 0.4 after 96 hrs (reported as hit score from 0-1 for on-disease vs off-disease activity: scores >0.6 considered hits)";"F";"BAO_0000218";"organism-based format";"Homo sapiens";"None";"None";"HRCE";"None";"CHEMBL4303835";"SARS-CoV-2";"Severe acute respiratory syndrome coronavirus 2";"ORGANISM";"CHEMBL4303122";"52";"SARS-CoV-2 Screening Data";"";"2020";"CHEMBL4303839"
